Name1,z1,Mr1,logMstar1,Ref1,Name2,z2,Mr2,logMstar2,Ref2
PKS0000-177,1.465,-24.5,12.0,2,1116+215,0.177,-22.2,11.5,1
Q0040-3731,1.780,-22.8,11.3,2,1150+497,0.334,-23.4,11.9,1
SGP2:36,1.756,-23.7,11.7,3,1202+281,0.165,-21.4,11.2,1
SGP5:46,0.955,-22.4,11.4,3,1208+322,0.388,-23.5,12.0,1
0054+144,0.171,-22.9,11.8,1,1216+069,0.331,-22.1,11.4,1
SGP4:39,1.716,-21.7,10.9,3,MRK0205,0.071,-23.3,12.0,1
PKS0100-270,1.597,-23.4,11.6,2,1222+125,0.415,-23.7,12.0,1
LBQS0100+0205,0.393,-22.3,11.5,1,3C273,0.158,-22.8,11.8,1
0110+297,0.363,-23.6,12.0,1,1230+097,0.415,-24.0,12.2,1
PKS0113-283,2.555,-24.7,11.8,5,Z124029-0010,2.030,-25.5,12.3,6
0119-370,1.320,-23.7,11.8,2,PG1302-102,0.286,-23.1,11.8,1
0133+207,0.425,-22.8,11.7,1,1307+085,0.155,-21.1,11.1,1
3C48,0.367,-25.6,12.8,1,1309+355,0.184,-22.6,11.7,1
HB890137+012,0.260,-23.5,12.0,1,1402+436,0.320,-23.3,11.9,1
0152-4055,1.650,-23.4,11.6,2,PG1416-129,0.129,-21.7,11.3,1
PKS0155-495,1.298,-24.4,12.0,2,1425+267,0.366,-24.3,12.3,1
PKS0159-11,0.669,-22.3,11.4,10,Z143220-0215,2.476,-23.2,11.2,6
B0204+2916,0.109,-22.4,11.6,1,Z144022-0122,2.244,-24.6,11.9,6
0244+194,0.176,-22.0,11.4,1,1444+407,0.267,-22.3,11.5,1
KUV03086-0447,0.755,-23.7,11.9,8,PKSJ1511-10,1.513,-23.5,11.6,2
MZZ01558,1.829,-23.0,11.3,4,1512+37,0.371,-23.3,11.9,1
US3828,0.515,-22.6,11.6,8,PKS1524-13,1.687,-23.9,11.7,3
Q0335-3546,1.841,-23.5,11.5,7,3C323.1,0.266,-21.9,11.4,1
PKS0348-120,1.520,-24.8,12.1,2,1549+203,0.250,-22.0,11.4,1
PKS0349-14,0.614,-25.2,12.6,10,HS1623+7313,0.621,-22.2,11.4,8
PKS0402-362,1.417,-24.8,12.2,2,1635+119,0.146,-22.2,11.5,1
PKS0403-132,0.571,-21.3,11.0,9,3C345,0.594,-25.5,12.7,1
PKS0405-123,0.574,-23.1,11.7,9,3C351,0.372,-24.2,12.2,1
PKS0414-06,0.773,-25.0,12.4,10,1821+643,0.297,-24.9,12.6,1
PKS0420-014,0.915,-24.5,12.2,9,3C422,0.942,-24.2,12.1,3
PKS0440-00,0.607,-23.3,11.8,3,MC2112+172,0.878,-24.1,12.1,3
0624+6907,0.370,-24.6,12.4,1,Q2125-4432,2.503,-23.0,11.2,6
PKS0710+11,0.768,-25.6,12.7,10,PKS2128-12,0.501,-21.8,11.2,9
MS0824.2+0327,1.431,-23.8,11.8,7,PKS2135-14,0.200,-22.9,11.8,1
MS08287+6614,0.610,-22.9,11.7,8,2141+175,0.211,-22.9,11.8,1
PKS0838+13,0.684,-23.1,11.7,10,Z215539-3026,2.593,-24.2,11.6,6
US1867,0.513,-25.8,12.8,1,2201+315,0.295,-23.7,12.1,1
0903+169,0.411,-23.5,12.0,1,PKS2204-20,1.923,-23.1,11.3,3
TON392,0.654,-23.4,11.8,8,Z222702-3205,2.177,-24.7,11.9,6
MS09441+1333,0.131,-23.3,12.0,1,Q2225-403A,2.410,-25.0,12.0,6
0953+415,0.234,-22.3,11.5,1,Q2225-403B,0.932,-23.2,11.7,11
1001+291,0.330,-24.0,12.2,1,PKS2227-08,1.562,-22.9,11.4,2
1004+130,0.240,-23.6,12.1,1,2247+140,0.235,-23.0,11.8,1
Z101733-0203,1.343,-21.8,11.0,7,Z225950-3206,2.225,-24.7,11.9,6
PKS1015-31,1.346,-24.5,12.1,7,Z231751-3147,2.628,-23.4,11.3,6
PKS1018-42,1.280,-25.1,12.3,2,Z232755-3154,2.737,-24.4,11.6,6
1058+110,0.423,-24.0,12.2,1,PKS2345-167,0.576,-24.4,12.3,9
1100+772,0.315,-23.8,12.1,1,Q2348-4012,1.500,-22.1,11.1,2
