ID,z,Line,FWHM,FWHM_err,logLline,logLline_err,logMBH,logMBH_err,logPjet,logLblr,logeta
16,1.216630,Mg_II,4.08,0.42,42.53,0.07,8.00,0.12,45.81,43.50,-1.60
49,0.875260,H_beta,6.77,0.11,44.02,0.01,9.30,0.04,45.69,45.06,-1.34
52,2.206710,Mg_II,6.00,0.43,43.41,0.14,8.88,0.13,44.94,44.51,-1.48
60,0.322160,H_alpha,1.74,0.07,41.88,0.02,7.14,0.04,43.22,42.44,-1.80
62,1.635180,Mg_II,3.20,0.11,43.26,0.02,8.25,0.08,44.90,44.27,-1.07
79,1.756110,Mg_II,6.48,0.16,43.47,0.03,8.99,0.08,46.65,44.73,-1.36
81,0.778955,Mg_II,12.47,2.07,42.14,0.14,8.72,0.18,44.64,43.30,-2.52
82,2.879250,C_IV,5.26,0.37,43.49,0.12,8.73,0.23,45.83,44.28,-1.55
83,0.682250,H_beta,7.03,1.67,41.87,0.14,8.28,0.23,45.76,40.57,-4.80
104,0.981480,H_beta,6.31,0.30,43.47,0.03,8.97,0.06,44.66,44.56,-1.52
113,2.081950,Mg_II,5.89,0.24,43.62,0.06,9.00,0.09,45.10,44.67,-1.43
151,2.602710,Mg_II,7.68,0.30,44.47,0.08,9.76,0.09,44.75,45.13,-1.73
159,1.077440,Mg_II,3.95,0.21,42.94,0.03,8.22,0.09,46.21,43.95,-1.37
177,0.470639,H_beta,5.31,0.14,42.60,0.01,8.39,0.06,44.22,43.65,-1.84
190,1.977990,C_IV,14.66,1.29,44.40,0.10,10.04,0.24,46.05,45.05,-2.08
195,0.363318,H_beta,2.90,0.03,42.42,0.01,7.78,0.06,43.40,43.89,-0.99
197,3.791340,C_IV,1.93,0.39,43.64,0.09,7.92,0.28,45.61,44.43,-0.59
205,1.682920,Mg_II,7.22,0.18,43.93,0.02,9.38,0.07,45.28,45.19,-1.29
206,1.145420,Mg_II,4.12,0.11,43.54,0.01,8.64,0.07,45.66,44.58,-1.16
214,0.765640,H_beta,11.05,0.48,43.42,0.02,9.43,0.06,44.96,44.36,-2.17
237,0.953285,Mg_II,9.88,0.99,43.24,0.07,9.21,0.12,44.07,44.30,-2.01
55673,0.436057,H_beta,1.20,0.19,41.66,0.09,8.45,0.17,43.51,33.91,-2.64
71277,0.316692,H_alpha,1.05,0.11,41.99,0.05,8.36,0.10,43.35,33.61,-2.85
165213,0.307192,H_alpha,1.19,0.93,42.79,0.01,8.82,0.71,42.99,34.45,-2.47
196970,0.323199,H_beta,1.20,0.60,40.89,0.07,8.08,0.45,43.11,32.74,-3.44
208794,0.448625,H_beta,1.20,0.11,41.35,0.04,8.30,0.12,43.26,33.60,-2.80
249591,0.431534,H_beta,1.20,0.62,41.66,0.14,8.45,0.46,43.75,33.91,-2.64
251343,0.760830,H_beta,1.19,0.15,43.96,0.02,9.57,0.12,44.42,36.21,-1.46
298359,0.342228,H_alpha,1.19,0.18,42.07,0.06,8.51,0.14,44.93,33.76,-2.85
372455,0.311240,H_alpha,1.19,0.60,42.66,0.08,8.77,0.08,43.67,34.29,-2.58
537618,0.490400,H_beta,1.10,0.04,43.86,0.02,9.45,0.05,43.96,36.11,-1.44
714133,0.555685,H_beta,1.20,0.19,42.25,0.01,8.74,0.10,43.99,34.50,-2.34
714228,0.343369,H_beta,1.20,0.11,40.86,0.13,8.06,0.13,44.11,33.11,-3.05
720847,0.416892,H_beta,1.19,0.24,41.92,0.19,8.57,0.19,44.07,34.17,-2.50
721940,0.640320,H_beta,1.20,0.60,43.31,0.44,9.25,0.44,44.26,35.56,-1.79
745066,0.376954,H_beta,1.19,0.60,41.73,0.45,8.47,0.45,43.30,33.77,-2.80
746605,0.366680,H_beta,1.24,0.09,43.37,0.08,9.31,0.08,43.03,35.62,-1.79
748144,0.588748,H_beta,1.22,0.31,43.08,0.23,9.16,0.23,43.95,35.33,-1.93
748815,0.325810,H_beta,1.19,0.07,42.05,0.09,8.63,0.09,44.68,33.94,-2.79
804203,0.506302,H_beta,1.20,0.60,41.44,0.45,8.34,0.45,43.82,33.69,-2.75
835899,0.762132,H_beta,1.19,0.16,42.24,0.13,8.72,0.13,43.90,34.49,-2.33
887308,0.546670,H_beta,1.20,0.19,43.17,0.15,9.18,0.15,43.80,35.42,-1.87
